지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),해면기압(hPa)
108,서울,2024.12.31 1:00,3.8,,2.5,65,1005.6,1016.2
108,서울,2024.12.31 2:00,2.9,,3.9,56,1006.2,1016.9
108,서울,2024.12.31 3:00,2,0,3.2,53,1007.2,1017.9
108,서울,2024.12.31 4:00,1,,3.3,50,1007.2,1018
108,서울,2024.12.31 5:00,0.2,,2.7,49,1007.4,1018.2
108,서울,2024.12.31 6:00,-0.6,,2.4,48,1008.3,1019.1
108,서울,2024.12.31 7:00,-1,,3,49,1009.1,1020
108,서울,2024.12.31 8:00,-1.8,,1.3,51,1010,1020.9
108,서울,2024.12.31 9:00,-1.5,,2,49,1010.7,1021.6
108,서울,2024.12.31 10:00,0.2,,3.1,42,1011.5,1022.3
108,서울,2024.12.31 11:00,1.1,,3.4,38,1011.7,1022.5
108,서울,2024.12.31 12:00,1.9,,2.5,35,1011.1,1021.9
108,서울,2024.12.31 13:00,2.4,,3.8,32,1010.4,1021.1
108,서울,2024.12.31 14:00,3.5,,2.7,30,1009.8,1020.5
108,서울,2024.12.31 15:00,3.9,,2.4,30,1009.9,1020.6
108,서울,2024.12.31 16:00,3.9,,2.9,34,1010.1,1020.8
108,서울,2024.12.31 17:00,2.5,,3.4,37,1010.2,1020.9
108,서울,2024.12.31 18:00,1.2,,3.1,40,1010.8,1021.6
108,서울,2024.12.31 19:00,0.5,,1.9,46,1011.3,1022.1
108,서울,2024.12.31 20:00,0,,2.4,48,1011.4,1022.3
108,서울,2024.12.31 21:00,-0.7,,1,51,1011.5,1022.4
108,서울,2024.12.31 22:00,-1,,0.7,53,1011.6,1022.5
108,서울,2024.12.31 23:00,-1.4,,1.3,56,1011.7,1022.6
108,서울,2025.1.1 0:00,-1.2,,0.7,60,1011.6,1022.5
108,서울,2025.1.1 1:00,-1.7,,1.1,62,1011.7,1022.6
108,서울,2025.1.1 2:00,-1.8,,0.5,64,1011.5,1022.4
108,서울,2025.1.1 3:00,-2,,1.9,66,1011.3,1022.2
108,서울,2025.1.1 4:00,-2.3,,2.2,67,1010.8,1021.7
108,서울,2025.1.1 5:00,-2.5,,2,69,1010.8,1021.7
108,서울,2025.1.1 6:00,-1.9,,2.1,68,1010.8,1021.7
108,서울,2025.1.1 7:00,-1.3,,2.7,68,1011.2,1022.1
