Hour,Count,MAE,RMSE,R2,ME_Bias,Error_STD,P90_Absolute_Error,P95_Absolute_Error
0,364,0.1771428654682485,0.2287118053406067,0.9995646377730434,0.01749980795995649,0.22804132656938347,0.3721570773059862,0.4521416204687101
1,364,0.19178444478196938,0.2788713049375139,0.999351686806285,0.01747171598406556,0.27832345186513485,0.38378472271421593,0.47428690692897135
2,364,0.1924293438656254,0.29010385144457435,0.9992969965065692,0.008263456678433909,0.2899861374388426,0.40803829106881084,0.5631140973361719
3,364,0.17009499193791144,0.2271384624997981,0.9995688689733607,-0.0032073384152825762,0.22711581654975516,0.35810937780532726,0.45490870429496
4,364,0.17628779504743353,0.2394109004508874,0.999520612730041,-0.005608188226945256,0.23934520567480744,0.36717729342369565,0.4716840494051031
5,364,0.18498148233100392,0.2737245943726711,0.9993747394619459,0.02250613055818887,0.27279777794509447,0.39506899529079625,0.5348371356385324
6,364,0.2209351594703401,0.3103356184909355,0.9992183609797151,0.009146387594828151,0.3102008054440166,0.45015574629673455,0.5983757203679642
7,364,0.357758832081943,0.48209633169426563,0.9982074881047747,-0.05501719111462462,0.4789467420443783,0.8069050736164682,1.0713712341712338
8,364,0.3663924634447647,0.49644936527751987,0.9981067555034007,-0.02607059401428294,0.4957643557298112,0.8368185852053088,0.98352744025744
9,364,0.4188634059875457,0.5508736121738053,0.9975741451094724,-0.019103938240363046,0.550542256446428,0.881672095290802,1.0625376174942356
10,364,0.42633400015285655,0.5759175935859916,0.9972830876308253,-0.014098421567488613,0.5757450035486064,0.9458023596954475,1.1319924149596916
11,364,0.4472228286407734,0.6105649383892342,0.9968905203317845,0.016372103639825372,0.6103453925546224,0.9927655180423745,1.2363338539584172
12,364,0.42879879839106144,0.5613446509558008,0.9973371859758703,-0.004221579176181726,0.5613287765881497,0.8823005179793213,1.1866244667472816
13,364,0.49008657352110846,0.6919335872412878,0.9959633123317256,0.043660403880966515,0.6905547467692535,1.0717974025288877,1.2756546782619345
14,364,0.45407989729766435,0.6201215013881978,0.9967561822137354,-0.03629007822849533,0.6190587263791071,0.9174711206302447,1.180606177913831
15,364,0.4308307962276409,0.5579674162021362,0.997401890310955,-0.017929919362433627,0.5576792586558553,0.9460555435378936,1.0674153570413427
16,364,0.40664603650105247,0.5443457247893045,0.9975961657747991,0.06920830772240728,0.5399282158200235,0.8732325894682411,1.0612993122442744
17,364,0.3521334860300514,0.507819280490324,0.9979510681335758,0.013625087265580914,0.5076364630665489,0.7763710178608962,0.9383456524609974
18,364,0.27973186385474413,0.5008641669086179,0.9979632616743197,-0.05667359701191653,0.4976474827574181,0.5371651453656456,0.7284862480294894
19,364,0.23898120477315957,0.31447651237075647,0.9991762748359115,0.029569236598974043,0.3130832749921791,0.48447667899448843,0.5963136396107767
20,364,0.20476943718247465,0.2693664503447572,0.9993909089581297,0.0286022552418376,0.2678436028103253,0.45750282548693266,0.533490133268028
21,364,0.2187777955858831,0.3116925234429662,0.9991813712458819,0.0016732131457366931,0.3116880323785515,0.4754142736923327,0.5821512283562543
22,364,0.1907288758679363,0.2627462872816886,0.9994202133432795,0.01577128173724075,0.26227252649234195,0.39686797438040017,0.5450273697744827
23,364,0.20236356347021206,0.291803807289839,0.9992885383620516,0.0036871812448367597,0.2917805110752143,0.4234969550391025,0.5413617763368417
